suite,benchmark,baseline,pairs,median_change_pct,min_change_pct,max_change_pct,bootstrap_low_pct,bootstrap_high_pct
bench,Crypto Precompile benchmarks/blake2 portable/10_rounds,main,3,-0.20464189204056904,-0.544038841150285,0.10258332722268282,-0.544038841150285,0.10258332722268282
bench,Crypto Precompile benchmarks/blake2 portable/10_rounds,base,3,0.02881819983528988,-0.3169170059709292,0.03177325736138936,-0.3169170059709292,0.03177325736138936
bench,Crypto Precompile benchmarks/blake2 portable/12_rounds,main,3,0.00040059046291229805,-0.6549998096346155,0.004567792360066214,-0.6549998096346155,0.004567792360066214
bench,Crypto Precompile benchmarks/blake2 portable/12_rounds,base,3,0.04748895460959801,-0.13351615511471016,0.14657126370321016,-0.13351615511471016,0.14657126370321016
bench,Crypto Precompile benchmarks/blake2 portable/2_rounds,main,3,-0.6684442006322566,-2.224099373637367,0.469892418961404,-2.224099373637367,0.469892418961404
bench,Crypto Precompile benchmarks/blake2 portable/2_rounds,base,3,0.38753695164142066,0.017561530188214824,0.41136951826206136,0.017561530188214824,0.41136951826206136
bench,Crypto Precompile benchmarks/blake2 portable/64_rounds,main,3,-0.33635700450515005,-0.5107394925505493,0.16066969313770496,-0.5107394925505493,0.16066969313770496
bench,Crypto Precompile benchmarks/blake2 portable/64_rounds,base,3,-0.39057287805066565,-0.4415183342134865,-0.25019284794515206,-0.4415183342134865,-0.25019284794515206
bench,Crypto Precompile benchmarks/blake2/100K_rounds,main,3,-0.025634796986617747,-0.03327565486345163,0.0250769266632922,-0.03327565486345163,0.0250769266632922
bench,Crypto Precompile benchmarks/blake2/100K_rounds,base,3,0.04837308016467645,0.005133217041053406,0.10560234994485551,0.005133217041053406,0.10560234994485551
bench,Crypto Precompile benchmarks/blake2/1024_rounds,main,3,-0.07164071370023839,-0.12343249718026472,-0.05901022682343049,-0.12343249718026472,-0.05901022682343049
bench,Crypto Precompile benchmarks/blake2/1024_rounds,base,3,0.06373360855298493,0.011102619470171327,0.08946192359753358,0.011102619470171327,0.08946192359753358
bench,Crypto Precompile benchmarks/blake2/10_rounds,main,3,-0.0020655987887696625,-0.6589807545072768,0.336304889323058,-0.6589807545072768,0.336304889323058
bench,Crypto Precompile benchmarks/blake2/10_rounds,base,3,0.0261510557544975,-0.14600378277076498,0.029621751140784802,-0.14600378277076498,0.029621751140784802
bench,Crypto Precompile benchmarks/blake2/12_rounds,main,3,-0.20850116411021968,-0.5692681829517432,0.2992472353896103,-0.5692681829517432,0.2992472353896103
bench,Crypto Precompile benchmarks/blake2/12_rounds,base,3,0.027743004717084574,-0.07001749310819871,0.10644412450311336,-0.07001749310819871,0.10644412450311336
bench,Crypto Precompile benchmarks/blake2/200K_rounds,main,3,-0.04067636701258204,-0.11693541492957538,0.023322090267541284,-0.11693541492957538,0.023322090267541284
bench,Crypto Precompile benchmarks/blake2/200K_rounds,base,3,-0.03988841159185963,-0.05123031850725601,-0.0224100813248862,-0.05123031850725601,-0.0224100813248862
bench,Crypto Precompile benchmarks/blake2/2_rounds,main,3,-0.23053417486285088,-2.4665864504121116,2.2962003468710135,-2.4665864504121116,2.2962003468710135
bench,Crypto Precompile benchmarks/blake2/2_rounds,base,3,-0.06270465686207816,-0.9271378734794666,0.049161562166388784,-0.9271378734794666,0.049161562166388784
bench,Crypto Precompile benchmarks/blake2/4_rounds,main,3,-0.523225625719137,-1.347376197183281,1.3404916266033906,-1.347376197183281,1.3404916266033906
bench,Crypto Precompile benchmarks/blake2/4_rounds,base,3,-0.2740710858159745,-0.39020135990860405,0.04453424111128257,-0.39020135990860405,0.04453424111128257
bench,Crypto Precompile benchmarks/blake2/512_rounds,main,3,-0.005199418922219312,-0.22599356926918945,0.06115176378456155,-0.22599356926918945,0.06115176378456155
bench,Crypto Precompile benchmarks/blake2/512_rounds,base,3,0.16487095672987895,0.04961699881012027,0.17123476968277096,0.04961699881012027,0.17123476968277096
