round,revision,case,iterations,ns_per_iteration
0,main,extcodehash,1000000,1884.050973
0,base,extcodehash,1000000,1887.188972
0,head,extcodehash,1000000,2589.7497
0,main,commit,5000,348275.6514
0,base,commit,5000,351904.7792
0,head,commit,5000,391041.6048
0,main,batch,5000,279219.3638
0,base,batch,5000,273504.4946
0,head,batch,5000,290754.147
1,main,extcodehash,1000000,1896.048678
1,head,extcodehash,1000000,2571.394875
1,base,extcodehash,1000000,1888.78567
1,main,commit,5000,350764.1934
1,head,commit,5000,389103.8702
1,base,commit,5000,354214.1892
1,main,batch,5000,273435.8118
1,head,batch,5000,289986.0418
1,base,batch,5000,276429.4068
2,head,extcodehash,1000000,2628.439512
2,main,extcodehash,1000000,1893.545444
2,base,extcodehash,1000000,1892.05601
2,head,commit,5000,396619.7102
2,main,commit,5000,350092.026
2,base,commit,5000,352393.7696
2,head,batch,5000,290351.5374
2,main,batch,5000,277930.6578
2,base,batch,5000,279796.393
3,head,extcodehash,1000000,2583.610027
3,base,extcodehash,1000000,1867.788066
3,main,extcodehash,1000000,1874.19864
3,head,commit,5000,388258.5626
3,base,commit,5000,350885.4008
3,main,commit,5000,350336.5218
3,head,batch,5000,290047.2816
3,base,batch,5000,276831.0552
3,main,batch,5000,275627.3494
4,base,extcodehash,1000000,1870.250383
4,head,extcodehash,1000000,2590.342103
4,main,extcodehash,1000000,1895.718937
4,base,commit,5000,357577.6388
4,head,commit,5000,389992.4356
4,main,commit,5000,351035.8396
4,base,batch,5000,277345.59
4,head,batch,5000,301939.3998
4,main,batch,5000,273719.1062
