round,revision,suite,benchmark,mean_ns
0,bytes,evm,snailtracer,23408613.666666668
0,bytes,evm,subcall_1000_transfer_1wei,186205.51951541632
0,bytes,evm,subcall_1000_same_account,175551.64492084322
0,bytes,evm,burntpix,69008917.3
0,bytes,evm,analysis,1995.6456149808469
0,bytes,evm,subcall_1000_nested,347072.60930310807
0,wrapped,evm,snailtracer,24261715.0
0,wrapped,evm,subcall_1000_transfer_1wei,182514.77992513587
0,wrapped,evm,subcall_1000_same_account,172344.2600916609
0,wrapped,evm,burntpix,67004487.63333333
0,wrapped,evm,analysis,2054.378106605464
0,wrapped,evm,subcall_1000_nested,338679.66898012883
0,thinarc,evm,snailtracer,23658242.833333332
0,thinarc,evm,subcall_1000_transfer_1wei,186201.1617217191
0,thinarc,evm,subcall_1000_same_account,190392.11872144204
0,thinarc,evm,burntpix,69371420.66666667
0,thinarc,evm,analysis,2070.475100167893
0,thinarc,evm,subcall_1000_nested,374635.3282794102
0,ecobytes,evm,snailtracer,23961779.333333332
0,ecobytes,evm,subcall_1000_transfer_1wei,200830.92425443695
0,ecobytes,evm,subcall_1000_same_account,192564.38120952988
0,ecobytes,evm,burntpix,69806971.0
0,ecobytes,evm,analysis,2045.553500645617
0,ecobytes,evm,subcall_1000_nested,370498.0522799591
0,arc,evm,snailtracer,23777268.733333334
0,arc,evm,subcall_1000_transfer_1wei,209224.96676354614
0,arc,evm,subcall_1000_same_account,198369.06809494022
0,arc,evm,burntpix,67902791.53333333
0,arc,evm,analysis,1989.934202141101
0,arc,evm,subcall_1000_nested,381930.7832443678
1,bytes,evm,snailtracer,23420034.533333335
1,bytes,evm,subcall_1000_transfer_1wei,182434.45658769834
1,bytes,evm,subcall_1000_same_account,172551.28059089612
1,bytes,evm,burntpix,65833200.2
1,bytes,evm,analysis,2040.5665115802524
1,bytes,evm,subcall_1000_nested,336971.68545830646
1,arc,evm,snailtracer,23564672.9
1,arc,evm,subcall_1000_transfer_1wei,199186.19826296688
1,arc,evm,subcall_1000_same_account,189109.46749183966
1,arc,evm,burntpix,67575525.26666667
1,arc,evm,analysis,1986.7491374688047
1,arc,evm,subcall_1000_nested,369764.6554726777
1,ecobytes,evm,snailtracer,24703594.833333332
1,ecobytes,evm,subcall_1000_transfer_1wei,203036.18821965053
1,ecobytes,evm,subcall_1000_same_account,196590.1758926341
1,ecobytes,evm,burntpix,66877894.43333333
1,ecobytes,evm,analysis,2001.7361940404282
1,ecobytes,evm,subcall_1000_nested,376838.8759122455
1,thinarc,evm,snailtracer,24497154.9
1,thinarc,evm,subcall_1000_transfer_1wei,188377.9728937796
1,thinarc,evm,subcall_1000_same_account,190467.318438027
1,thinarc,evm,burntpix,68046441.13333334
1,thinarc,evm,analysis,2036.831695541873
1,thinarc,evm,subcall_1000_nested,370027.76191362087
1,wrapped,evm,snailtracer,24419585.966666665
1,wrapped,evm,subcall_1000_transfer_1wei,182104.20752132594
1,wrapped,evm,subcall_1000_same_account,173459.2582128038
1,wrapped,evm,burntpix,69025521.7
1,wrapped,evm,analysis,2041.337619011171
1,wrapped,evm,subcall_1000_nested,351548.11079586006
2,thinarc,evm,snailtracer,24271863.566666666
2,thinarc,evm,subcall_1000_transfer_1wei,186925.67797219177
2,thinarc,evm,subcall_1000_same_account,192490.39341158653
2,thinarc,evm,burntpix,67187368.06666666
2,thinarc,evm,analysis,1975.0345266885133
2,thinarc,evm,subcall_1000_nested,377141.85188170156
2,ecobytes,evm,snailtracer,23633761.266666666
2,ecobytes,evm,subcall_1000_transfer_1wei,191025.00076195068
2,ecobytes,evm,subcall_1000_same_account,195712.04656142747
2,ecobytes,evm,burntpix,66951924.03333333
2,ecobytes,evm,analysis,2059.348223355629
2,ecobytes,evm,subcall_1000_nested,381647.5659344127
2,arc,evm,snailtracer,23549708.0
