round,revision,suite,benchmark,mean_ns
0,main,account_extension,account/copy_without_code/4096,5462.696094570439
0,main,account_extension,block/256/payload=32/bal=true/distinct=true/storage=false,199028.2027726206
0,main,account_extension,block/256/payload=32/bal=true/distinct=true/storage=true,276549.5254196204
0,main,account_extension,block/256/payload=32/bal=false/distinct=true/storage=true,234105.77740607137
0,main,account_extension,block/256/payload=32/bal=true/distinct=false/storage=true,193941.61834857918
0,main,account_extension,populated32/journal/warm_load/4096,60881.4200027561
0,main,account_extension,block/256/payload=0/bal=true/distinct=true/storage=false,197059.0012925339
0,main,account_extension,populated32/journal/cold_load/4096,349120.6337856364
0,main,account_extension,block/256/payload=32/bal=false/distinct=true/storage=false,176682.0401958191
0,main,account_extension,account/equal/empty,1.086692213722157
0,main,account_extension,block/256/payload=32/bal=true/distinct=false/storage=false,153166.1983097484
0,main,account_extension,account/clone/4096,7777.81312604277
0,main,account_extension,populated32/account/copy_without_code/4096,5440.265320215852
0,main,account_extension,populated32/account/clone/4096,7120.127355554169
0,main,account_extension,block/256/payload=32/bal=false/distinct=false/storage=false,141813.67423940354
0,main,account_extension,block/256/payload=32/bal=false/distinct=false/storage=true,181493.74104818408
0,main,account_extension_subcalls,subcall_1000_same_account/payload=0,205645.37654263366
0,main,account_extension_subcalls,subcall_1000_nested/payload=0,384154.78833758534
0,main,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,215528.4599020066
0,main,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,214872.45411242632
0,main,account_extension_subcalls,subcall_1000_same_account/payload=32,205501.97896389494
0,main,account_extension_subcalls,subcall_1000_nested/payload=32,384351.876134756
0,main,evm,snailtracer,23876511.2
0,main,evm,subcall_1000_transfer_1wei,191647.21232018614
0,main,evm,EXTCODEHASH_50,1977.1214470253274
0,main,evm,transact_1000tx_commit_inner_every_40,343233.05276576825
0,main,evm,subcall_1000_same_account,191471.90786294814
0,main,evm,burntpix,66982210.666666664
0,main,evm,transact_commit_1000txs,440832.7546889021
0,main,evm,analysis,2007.2477213073876
0,main,evm,subcall_1000_nested,376673.8864167409
0,base,account_extension,account/copy_without_code/4096,5442.503055602123
0,base,account_extension,block/256/payload=32/bal=true/distinct=true/storage=false,198230.57767833435
0,base,account_extension,block/256/payload=32/bal=true/distinct=true/storage=true,278648.31698705564
0,base,account_extension,block/256/payload=32/bal=false/distinct=true/storage=true,235146.989014661
0,base,account_extension,block/256/payload=32/bal=true/distinct=false/storage=true,196392.34866130495
0,base,account_extension,populated32/journal/warm_load/4096,60742.735247865385
0,base,account_extension,block/256/payload=0/bal=true/distinct=true/storage=false,198695.32328083835
0,base,account_extension,populated32/journal/cold_load/4096,348024.78464050655
0,base,account_extension,block/256/payload=32/bal=false/distinct=true/storage=false,173250.96780584627
0,base,account_extension,account/equal/empty,1.0824301301823143
0,base,account_extension,block/256/payload=32/bal=true/distinct=false/storage=false,155199.37013149072
0,base,account_extension,account/clone/4096,7471.781297771911
0,base,account_extension,populated32/account/copy_without_code/4096,5453.680311706712
0,base,account_extension,populated32/account/clone/4096,7113.381831268385
0,base,account_extension,block/256/payload=32/bal=false/distinct=false/storage=false,140635.1211161659
0,base,account_extension,block/256/payload=32/bal=false/distinct=false/storage=true,176927.23871955712
0,base,account_extension_subcalls,subcall_1000_same_account/payload=0,195390.7318747002
0,base,account_extension_subcalls,subcall_1000_nested/payload=0,370030.0908585399
0,base,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,205784.16369386757
0,base,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,205618.4353684345
0,base,account_extension_subcalls,subcall_1000_same_account/payload=32,195364.42149145072
0,base,account_extension_subcalls,subcall_1000_nested/payload=32,369468.67489967
