round,revision,suite,benchmark,mean_ns
0,bytes,account_extension_subcalls,subcall_1000_same_account/payload=0,164364.2974279068
0,bytes,account_extension_subcalls,subcall_1000_nested/payload=0,322089.716964441
0,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,174704.6225349426
0,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,174087.5032531243
0,bytes,account_extension_subcalls,subcall_1000_same_account/payload=32,165239.01735016692
0,bytes,account_extension_subcalls,subcall_1000_nested/payload=32,320884.2633156114
0,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=0,176665.46922188785
0,wrapped,account_extension_subcalls,subcall_1000_nested/payload=0,341003.1985579906
0,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,186314.72758184889
0,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,186051.3484661264
0,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=32,176574.5330849815
0,wrapped,account_extension_subcalls,subcall_1000_nested/payload=32,341850.52388669254
0,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=0,184757.6144441113
0,thinarc,account_extension_subcalls,subcall_1000_nested/payload=0,359154.8738640481
0,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,182689.8703788969
0,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,183874.33371459375
0,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=32,185285.22764695983
0,thinarc,account_extension_subcalls,subcall_1000_nested/payload=32,359101.33943149436
0,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=0,187071.9127734034
0,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=0,358884.9778447365
0,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,187564.6118120808
0,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,187450.48192077148
0,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=32,186248.61112602605
0,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=32,360190.6329034333
0,arc,account_extension_subcalls,subcall_1000_same_account/payload=0,185582.95747048836
